tenant,file,file_size,ingestion_start_time,ingestion_end_time,ingestion_time,success,concurrent_ingestions
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:37:54.102010,2024-03-14 23:38:07.232529,0:00:13.130519,True,4.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-2.csv,107029978,2024-03-14 23:37:55.113818,2024-03-14 23:38:09.445811,0:00:14.331993,True,4.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-3.csv,107029978,2024-03-14 23:37:56.118392,2024-03-14 23:38:10.601356,0:00:14.482964,True,4.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:37:57.124307,2024-03-14 23:38:12.026060,0:00:14.901753,True,4.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:37:58.135896,2024-03-14 23:38:12.235614,0:00:14.099718,True,4.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-2.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,4.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-3.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,4.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:38:18.630573,2024-03-14 23:38:30.955259,0:00:12.324686,True,4.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:38:19.635958,2024-03-14 23:38:32.327385,0:00:12.691427,True,4.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-2.csv,107029978,2024-03-14 23:38:20.639675,2024-03-14 23:38:34.803276,0:00:14.163601,True,4.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-3.csv,107029978,2024-03-14 23:38:21.643916,2024-03-14 23:38:36.325836,0:00:14.681920,True,4.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:38:22.649452,2024-03-14 23:38:37.306579,0:00:14.657127,True,4.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:38:23.655098,2024-03-14 23:38:38.445710,0:00:14.790612,True,4.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-0.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 816.5739288330078 MB,8.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-1.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 714.5021877288818 MB,8.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-2.csv,107029978,,,,Too much data in staging directory. Allowed: 512.0 MB. Current: 612.4304466247559 MB,8.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-0.csv,107029978,2024-03-14 23:38:44.549478,2024-03-14 23:38:57.240980,0:00:12.691502,True,8.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-5.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,8.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-6.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,8.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-1.csv,107029978,2024-03-14 23:38:45.556879,2024-03-14 23:38:59.073533,0:00:13.516654,True,8.0
tenant2,data\client-staging-input-directories\tenant2\taxi_data\taxi-data-7.csv,107029978,,,,Too many concurrent ingestions for tenant2. Max: 2 Current: 2.,8.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-2.csv,107029978,2024-03-14 23:38:46.561008,2024-03-14 23:39:01.238108,0:00:14.677100,True,8.0
tenant1,data\client-staging-input-directories\tenant1\taxi_data\taxi-data-3.csv,107029978,2024-03-14 23:38:47.567034,2024-03-14 23:39:03.580962,0:00:16.013928,True,8.0
